affiliation,item_id,item_type,title,item_url,authors,authors_with_affiliations,Awards
Monash University,223440,Papers,Co-Design of Technology with and for People with Intellectual Disabilities: A Scoping Review of Methods and Inclusion Strategies,https://programs.sigchi.org/chi/2026/program/content/223440,"Jacqueline Johnstone , Madhuka Nadeeshani , Preity Pai , Troy McGee , Kirsten Ellis , Swamy Ananthanarayan",,
Monash University,225542,Journals,The Three Steps to Trans Death: Introducing Trans Cyber-Necropolitics in Digital Media,https://programs.sigchi.org/chi/2026/program/content/225542,"Shano Liang , Michelle V Cormier , Phoebe O. Toups Dugas , Rose Bohrer",,
Monash University,225695,SMP: Roundtable,Understanding the Impact of HMD Notification on User Attention in Outdoor Cycling,https://programs.sigchi.org/chi/2026/program/content/225695,Linjia He,,
Monash University,229497,Interactivity,The Wizard of Taste: Demonstrating Multisensory Eating with Electrcial Taste and Bone-conduction Auditory Seasoning,https://programs.sigchi.org/chi/2026/program/content/229497,"Ziqi Fang , Hongyue Wang , Nilakna Disiwari Warushavithana , Subasinghe Piyarathnage Sahan Madusanka , Jialin Deng , Weijen Chen , Don Samitha Elvitigala , Florian ‘Floyd’ Mueller",Jialin Deng,
Monash University,229845,Interactivity,The Future Smart Shoe: Demonstrating Sensing-to-Actuation Prototypes,https://programs.sigchi.org/chi/2026/program/content/229845,"Marco Torge Gabrecht , Ruben Schlonsak , Troy Nachtigall , Don Samitha Elvitigala , Denys J.C. Matthies",,
Queensland University of Technology (QUT),214863,Meet-up,Strengthening the CHIIR Community: Bridging Interactive IR and HCI at CHI 2026,https://programs.sigchi.org/chi/2026/program/content/214863,"Haiming Liu , Rob Capra , Paul Thomas , Jaap Kamps , Toine Bogers , Morgan A Harvey , Rosie Jones , Chang Liu , Udo Kruschwitz , Stephann Makri , Laurianne Sitbon , Adam Roegiest , Johanne R Trippas",,
Queensland University of Technology (QUT),221962,Papers,The Choreography of Care: An Ethnographic Study of Human-Robot Collaboration in Makoplasty Surgeries,https://programs.sigchi.org/chi/2026/program/content/221962,"Jasper T Vermeulen , James L Dwyer , Alan G Burden , Glenda Amayo Caldwell , Muge Teixeira , Matthias Guertler , Ross Crawford","Jasper T Vermeulen , James L Dwyer , Alan G Burden , Glenda Amayo Caldwell , Muge Teixeira , Matthias Guertler , Ross Crawford",HONORABLE MENTION
Queensland University of Technology (QUT),222221,Papers,Exploring Women’s Perspectives on Learning and Trust in Automated Vehicles: A Socio-Ecological Lens,https://programs.sigchi.org/chi/2026/program/content/222221,"ALAA H A ABUSAFIA , Ronald Schroeter , Alessandro Soro",,
Queensland University of Technology (QUT),223015,Papers,Balancing Attention Support for Early-learners (BASE) in Digital Technology Interactions: A Framework for Design and Use,https://programs.sigchi.org/chi/2026/program/content/223015,"Kellie Vella , Nelli Holopainen , Marina Torjinksi , Madeleine Rose Dobson , Karen Murcia , Margot Brereton",,
Queensland University of Technology (QUT),223072,Papers,"Small Talk, Big Impact? LLM-based Conversational Agents to Mitigate Passive Fatigue in Conditional Automated Driving",https://programs.sigchi.org/chi/2026/program/content/223072,"Lewis Cockram , Yueteng Yu , Jorge Pardo , Xiaomeng Li , Andry Rakotonirainy , Jonny Kuo , Sebastien Demmel , Mike Lenné , Ronald Schroeter",,BEST PAPER
Queensland University of Technology (QUT),223152,Papers,Understanding Emotional Closeness in Distanced Intergenerational Relationships Between Young Children and Older Adults: A Scoping Review for HCI,https://programs.sigchi.org/chi/2026/program/content/223152,"Yuehao Wang , Alethea Blackler , Li Jiang , Beheshteh Atrian , Shital Desai , Nicole E M Vickery , Bernd Ploderer , Jane Turner , Linda Knight",,
Queensland University of Technology (QUT),223469,Papers,Tuning into Everyday Ecologies: Children’s Slow Noticing in Food Gardens,https://programs.sigchi.org/chi/2026/program/content/223469,"Yanxia Li , Madeleine Rose Dobson , Tshering Dema , Kellie Vella , Margot Brereton",,
Royal Brisbane and Women's Hospital,223471,Papers,Out of Emergency: How Doctors Navigate Jurisdictional Seams in Emergency Care Referrals,https://programs.sigchi.org/chi/2026/program/content/223471,"Aloha Hufana Ambe , Isaac Salisbury , Tobias Grundgeiger , Daniel Bodnar , Sean Rothwell , Nathan Brown , Ben Matthews",,HONORABLE MENTION
RMIT,214828,Workshops,Configuring Money as an Interface,https://programs.sigchi.org/chi/2026/program/content/214828,"Chris Elsden , Belén Barros Pena , Helena Lyhme , Jeff Brozena , Daniel Mwesigwa , Chris Speed , Jofish Kaye , John Vines",,
RMIT,214838,Workshops,Shaping Future Human Connection: Social Augmentation through XR Technologies,https://programs.sigchi.org/chi/2026/program/content/214838,"Alessandro Visconti , Fabrizio Lamberti , Theophilus Teo , Gun A. Lee , Allison Jing , Kiyoshi Kiyokawa , Adalberto L. Simeone",Allison Jing,
RMIT,214863,Meet-up,Strengthening the CHIIR Community: Bridging Interactive IR and HCI at CHI 2026,https://programs.sigchi.org/chi/2026/program/content/214863,"Haiming Liu , Rob Capra , Paul Thomas , Jaap Kamps , Toine Bogers , Morgan A Harvey , Rosie Jones , Chang Liu , Udo Kruschwitz , Stephann Makri , Laurianne Sitbon , Adam Roegiest , Johanne R Trippas",,
RMIT,214881,Meet-up,Embodiment in Action: Embodied Experiences of More-Than-Human Entanglements,https://programs.sigchi.org/chi/2026/program/content/214881,"Diotima Bertel , Quynh Nguyen , Anna Blumenkranz , Julia Himmelsbach , Simone Kriglstein , Bojana Nikolovska , Maria Normark , Dorothé Smit , Beatrix Wais-Zechmann , Yoko Akama","Diotima Bertel , Quynh Nguyen ,  Julia Himmelsbach",
RMIT,222242,Papers,Grand Challenges around Designing Computers’ Control Over Our Bodies,https://programs.sigchi.org/chi/2026/program/content/222242,"Florian ‘Floyd’ Mueller , Nadia Berthouze , Misha Sra , Mar Gonzalez-Franco , Henning Pohl , Susanne Boll , Richard Byrne , Arthur Caetano , Masahiko Inami , Jarrod Knibbe , Per Ola Kristensson , Xiang Li , Zhuying Li , Joe Marshall , Louise Petersen Matjeka , Minna Nygren , Rakesh Patibanda , Sara Price , Harald Reiterer , Aryan Saini , Oliver Schneider , Ambika Shahu , Phoebe O. Toups Dugas , Don Samitha Elvitigala",,
RMIT,222505,Papers,Applying Value Sensitive Design to Location-Based Services: Designing for Shared Spaces and Local Conditions,https://programs.sigchi.org/chi/2026/program/content/222505,"Hiruni Nuwanthika Kegalle , Flora D. Salim , Mark Sanderson , Jeffrey Chan , Danula Hettiachchi",,
RMIT,222693,Papers,Plotania: Exploring Transparency Trade-offs in AI Co-Writing Through Virtual Readers and Transparent Attribution,https://programs.sigchi.org/chi/2026/program/content/222693,"Yufeng Hu , Jinyi Zhang , Zehuan Wang , Chun Yu",Chun Yu,
RMIT,222828,Papers,Gaze and Speech in Multimodal Human-Computer Interaction: A Scoping Review,https://programs.sigchi.org/chi/2026/program/content/222828,"Anam Ahmad Khan , Florian Weidner , Jungwoo Rhee , Yasmeen Abdrabou , Andrea Bianchi , Eduardo Velloso , Hans Gellersen , Joshua Newn","Anam Ahmad Khan, Florian Weidner, Hans Gellersen",
RMIT,222993,Papers,"AI Sensing and Intervention in Higher Education: Student Perceptions of Learning Impacts, Affective Responses, and Ethical Priorities",https://programs.sigchi.org/chi/2026/program/content/222993,"Bingyi Han , Ying Ma , Simon Coghlan , Dana McKay , George Buchanan , Wally Smith",,BEST PAPER
RMIT,223014,Papers,Mapping the Landscape of Affective Extended Reality: A Scoping Review of Biodata-Driven Systems for Understanding and Sharing Emotions,https://programs.sigchi.org/chi/2026/program/content/223014,"Zhidian Lin , Allison Jing , Ziyuan Qu , Fabio Zambetta , Ryan M. Kelly",,HONORABLE MENTION
RMIT,223031,Papers,“My Tummy Has a Little Dragon”: From Everyday Experiences of Gut Sounds to Interoceptive Interaction Design,https://programs.sigchi.org/chi/2026/program/content/223031,"Nandini Pasumarthy , Mia Huong Nguyen , Ashika Ramesh Krishnan , Maria F. Montoya , Rakesh Patibanda , Jessica Danaher , Rohit Ashok Khot , Elise van den Hoven , Florian ‘Floyd’ Mueller",,
RMIT,223103,Papers,Timing Matters: Designing Effective Corrections for Short-Form Video Misinformation,https://programs.sigchi.org/chi/2026/program/content/223103,"Suwani Gunasekara , Cherie Sew , Saumya Pareek , Ryan M. Kelly , Vassilis Kostakos , Jorge Goncalves",,
RMIT,223141,Papers,Influencers vs. Legacy Media on Instagram: Effects on Perceived Credibility and Following Intention,https://programs.sigchi.org/chi/2026/program/content/223141,"Cherie Sew , Safira Nugroho , Suwani Gunasekara , Adélaïde Genay , Ryan M. Kelly , Jorge Goncalves",,
RMIT,223152,Papers,Understanding Emotional Closeness in Distanced Intergenerational Relationships Between Young Children and Older Adults: A Scoping Review for HCI,https://programs.sigchi.org/chi/2026/program/content/223152,"Yuehao Wang , Alethea Blackler , Li Jiang , Beheshteh Atrian , Shital Desai , Nicole E M Vickery , Bernd Ploderer , Jane Turner , Linda Knight",,
RMIT,229713,Papers,"In Deep Water: Designing Contrasting Temporal Modes for Collaborative, Embodied Engagement with Marine Plastic Pollution",https://programs.sigchi.org/chi/2026/program/content/229713,"Deb Polson , Stefan Greuter",,
"School of Architecture, Design and Planning, The University of Sydney",221827,Papers,"Rethinking External Communication of Autonomous Vehicles: Is the Field Converging, Diverging, or Stalling?",https://programs.sigchi.org/chi/2026/program/content/221827,"Tram Thi Minh Tran , Debargha Dey , Martin Tomitsch",,
"School of Architecture, Design and Planning, The University of Sydney",222903,Papers,Animated Public Furniture as an Interaction Mediator: Engaging Passersby In-the-Wild with Robotic Benches,https://programs.sigchi.org/chi/2026/program/content/222903,"Xinyan Yu , Marius Hoggenmüller , Xin Lu , Ozan Balcı , Martin Tomitsch , Andrew Vande Moere , Alex Binh Vinh Duc Nguyen",,
"School of Architecture, Design and Planning, The University of Sydney",223145,Papers,"Exploring the Impacts of Background Noise on Auditory Stimuli of Audio-Visual eHMIs for Hearing, Deaf, and Hard-of-Hearing People",https://programs.sigchi.org/chi/2026/program/content/223145,"Wenge Xu , Foroogh Hajiseyedjavadi , Debargha Dey , Tram Thi Minh Tran , Mark Colley",,
"School of Architecture, Design and Planning, The University of Sydney",223209,Papers,Envisioning Audio Augmented Reality in Everyday Life,https://programs.sigchi.org/chi/2026/program/content/223209,"Tram Thi Minh Tran , Soojeong Yoo , Oliver Weidlich , Yidan Cao , Xinyan Yu , Xin Cheng , Yin Ye , Natalia Gulbransen-Diaz , Callum Parker",,
